oui	companyName
00:69:67:5	"Shenzhen Xiao Bi En Culture Education Tech Co, Ltd"
00:90:E1	Telena S.P.A.
00:50:C2:9F:A	Teranex A Division of Silicon Optix
70:4D:7B	ASUSTek Computer Inc
00:50:C2:2F:1	"Geometrics, Inc"
70:E2:4C	Sae IT-systems GmbH & Co KG
14:5B:E1	nyantec GmbH
38:2B:78	"Eco Plugs Enterprise Co, Ltd"
2C:DD:A3	Point Grey Research Inc
00:03:DE	Otc Wireless
00:07:29	Kistler Instrumente AG
00:50:C2:A1:7	Winners Satellite Electronics Corp
A0:98:ED	"Shandong Intelligent Optical Communication Development Co, Ltd"
C0:3F:D5	"Elitegroup Computer Systems Co, Ltd"
2C:A3:0E	Power Dragon Development Ltd
C4:FF:BC:E	viRaTec GmbH
18:74:E2	Ieee Registration Authority
00:50:C2:82:D	Elmec Inc
2C:A2:B4	"Fortify Tech, Llc"
F0:26:24	"Wafa Tech Co, Ltd"
00:05:2A	"Ikegami Tsushinki Co, Ltd"
00:23:4C	Ktc AB
D8:D5:B9	"Rainforest Automation, Inc"
A0:6A:44	"Vizio, Inc"
00:12:01	"Cisco Systems, Inc"
00:13:E3	"CoVi Tech, Inc"
00:14:C6	Quixant Ltd
70:B3:D5:38:3	Lpa Excil Electronics
3C:57:6C	"Samsung Electronics Co, Ltd"
00:00:D9	Nippon Telegraph & Telephone
00:11:C8	"Powercom Co, Ltd"
00:50:C2:83:0	CompuShop Services Llc
00:1F:BD	Kyocera Wireless Corp
00:50:C2:F5:4	Hella Gutmann Solutions GmbH
40:D8:55:1A:D	Wicher Digital Technik
58:48:49:9	"Shenzhen Tongye Tech Co, Ltd"
3C:F7:A4	"Samsung Electronics Co, Ltd"
34:BA:38	Pal Mohan Electronics Pvt Ltd
00:50:C2:30:D	Setaram
F4:42:27	S & S Research Inc
78:1F:DB	"Samsung Electronics Co, Ltd"
A4:C1:38	Telink Semiconductor (Taipei) Co Ltd
54:6D:52	Topview Optronics Corp
CC:1B:E0:7	Sichuan Dianjia network Tech CoLtd
0C:73:EB:0	Gemini Data Loggers (UK) Ltd
3C:06:30	"Apple, Inc"
60:7E:DD	Microsoft Mobile Oy
20:85:93:D	"Shanghai Kenmyond Industrial Network Equipment Co, Ltd"
38:DE:AD	Intel Corp
00:17:DC	Daemyung Zero1
00:26:10	Apacewave Tech
00:50:C2:D6:6	Uvax Concepts
D0:46:DC	Southwest Research Institute
DC:CE:BC	"Shenzhen Jsr Tech Co, Ltd"
28:63:36	Siemens AG
3C:A6:F6	"Apple, Inc"
00:0D:51	"Divr Systems, Inc"
8C:53:F7	"A&D Engineering Co, Ltd"
A8:15:59	"Breathometer, Inc"
70:B3:D5:FF:0	E-MetroTel
D8:CF:89	"Beijing DoSee Science and Tech Co, Ltd"
70:B3:D5:A8:C	Cyg Contron CoLtd
90:D1:1B	Palomar Medical Tech
54:9A:11:3	Royal Boon Edam International BV
00:E1:8C	Intel Corp
80:6F:B0	Texas Instruments
C8:08:73	Ruckus Wireless
00:0D:67	Ericsson
74:E0:6E	Ergophone GmbH
40:D3:AE	"Samsung Electronics Co, Ltd"
00:50:C2:4E:0	Telematrix
00:1B:C5:08:9	"Signature Control Systems, Inc"
FC:E8:06	Edifier International
00:10:43	A2 Corp
00:14:0D	Nortel Networks
00:1A:25	Delta Dore
00:24:AA	Dycor Tech Ltd
00:20:A2	Galcom Networking Ltd
00:50:C2:43:A	ProDesign GmbH
84:11:C2:2	Futurecom Systems Group
1C:87:79:A	"Hangzhou Xiaowen Intelligent Tech Co, Ltd"
1C:87:79:C	AllThingsTalk
38:6E:88	zte Corp
70:B3:D5:D0:9	Rishaad Brown
28:B7:7C:5	Grothe GmbH
64:33:B5:A	"Hometek Eletronics Co, Ltd"
00:40:A5	Clinicomp Intl.
00:1B:C3	"Mobisolution Co, Ltd"
94:0B:D5	"Himax Tech, Inc"
04:FA:83	"Qingdao Haier Tech Co, Ltd"
00:20:33	"Synapse Tech, Inc"
00:11:7F	"Neotune Information Tech Corp,.Ltd"
EC:30:91	"Cisco Systems, Inc"
18:CF:5E	Liteon Tech Corp
50:13:95	"Sichuan AI-Link Tech Co, Ltd"
00:50:C2:83:A	Syr-Tec Engineering & Marketing
78:BE:B6	Enhanced Vision
3C:57:31	"Cisco Systems, Inc"
00:11:94	"Chi Mei Communication Systems, Inc"
00:12:03	ActivNetworks
00:50:C2:62:1	Version-T
60:D7:E3:D	"Quantronix, Inc"
70:B3:D5:E5:E	Critical Link Llc
4C:6F:9C	"Guangdong Oppo Mobile Telecommunications Corp, Ltd"
00:50:C2:F1:5	Sascal Displays Ltd
00:02:A1	World Wide Packets
00:05:52	Xycotec Computer GmbH
00:07:49	CENiX Inc
00:0F:46	Sinar AG
00:26:7A	"wuhan hongxin telecommunication Tech Co, Ltd"
70:7E:DE	Nastec Ltd
00:50:93	Boeing
00:22:2B	"Nucomm, Inc"
90:D8:52	"Comtec Co, Ltd"
F0:3D:03	Tecno Mobile Ltd
00:0C:21	"Faculty of Science and Tech, Keio University"
00:24:48	"SpiderCloud Wireless, Inc"
0C:CB:8D	Asco Numatics GmbH
38:09:A4	Firefly Integrations
04:62:73	"Cisco Systems, Inc"
70:B3:D5:F4:7	TXMission Ltd
00:10:DC	"Micro-Star International Co, Ltd"
00:40:16	Adc - Global Connectivity Solutions Division
00:05:99	Drs Test and Energy Management or Drs-Tem
00:12:41	a2i marketing center
00:16:40	Asmobile Communication Inc
88:5D:90:0	"Foshan Huaguo Optical Co, Ltd"
54:7A:52	Cte International srl
78:F2:35	"Sichuan AI-Link Tech Co, Ltd"
00:18:56	"EyeFi, Inc"
A0:DE:05	"Jsc ""Irbis-T"""
D4:22:3F	Lenovo Mobile Communication Tech Ltd
84:26:2B	Nokia
C0:C6:87	Cisco Spvtg
68:35:63	"Shenzhen Liown Electronics Co, Ltd"
00:50:F0	"Cisco Systems, Inc"
00:07:10	"Adax, Inc"
00:1D:9C	Rockwell Automation
D4:9D:C0	"Samsung Electronics Co, Ltd"
70:B3:D5:0D:5	Kahler Automation
40:2C:76:2	annapurnalabs
00:26:C9	"Proventix Systems, Inc"
A0:04:3E	Parker Hannifin Manufacturing Germany GmbH & Co KG
54:D1:7D	"Samsung Electronics Co, Ltd"
A4:DA:22:5	Original Products Pvt. Ltd
00:06:14	Prism Holdings
00:07:D7	Caporis Networks AG
00:50:C2:85:E	Radiometer Medical ApS
00:1F:F2	"Via Tech, Inc"
00:22:B7	Gss Grundig Sat-Systems GmbH
08:8E:4F	SF Software Solutions
00:19:6F	SensoPart GmbH
0C:FD:37	Suse Linux GmbH
00:90:8A	"Bayly Communications, Inc"
E0:31:D0	"SZ Telstar Co, Ltd"
08:35:71	CASwell Inc
94:D4:69	"Cisco Systems, Inc"
70:B3:D5:83:6	Authenticdata
00:12:A0	NeoMeridian Sdn Bhd
00:50:C2:9E:D	Picell B.V.
DC:89:83	"Samsung Electronics Co, Ltd"
00:60:52	"Peripherals Enterprise Co, Ltd"
00:0A:27	"Apple, Inc"
00:B0:1C	Westport Tech
78:D3:4F	"Pace-O-Matic, Inc"
78:CA:83:D	Hubei Boyuan Zhijia Network Media Co Ltd
34:5A:BA	tcloud intelligence
00:90:15	Centigram Communications Corp
00:03:2B	Gai Datenfunksysteme GmbH
B4:F3:23	Petatel Inc
E0:23:FF	Fortinet Inc
DC:4D:23	Mrv Comunications
54:DF:24	"Fiberhome Telecommunication Tech Co, Ltd"
00:03:0B	"Hunter Tech, Inc"
00:1A:A2	"Cisco Systems, Inc"
00:1B:C5:0A:B	Evondos Oy
9C:35:83	"Nipro Diagnostics, Inc"
F4:57:3E	"Fiberhome Telecommunication Tech Co, Ltd"
74:F8:DB:A	"Ballard Tech, Inc,"
68:AB:09	Nokia
00:90:AF	J. Morita Mfg. Corp
D8:1E:DE	B&W Group Ltd
90:20:C2	"Aruba, a Hewlett Packard Enterprise Co"
00:E0:48	"Sdl Communications, Inc"
00:50:C2:61:3	Tattile Srl
68:6E:23	Wi3 Inc
00:8A:55	"Huawei Device Co, Ltd"
8C:59:8B	C Tech AB
04:84:8A	7inova Tech Ltd
70:B3:D5:1F:1	Diehl Connectivity Solutions
D0:14:11:7	Realwave Inc
9C:9D:7E	"Beijing Xiaomi Mobile Software Co, Ltd"
A4:DA:22:7	"Hydro Electronic Devices, Inc"
A0:3D:6E	"Cisco Systems, Inc"
00:10:EE	"Cti Products, Inc"
00:13:A1	Crow Electronic Engeneering
00:25:BA	Alcatel-Lucent Ipd
00:50:C2:CC:E	Mac-Gray Corp
18:00:DB	Fitbit Inc
A0:8C:FD	Hewlett Packard
44:E5:17	Intel Corp
00:30:9F	Amber Networks
00:50:C2:30:B	VX Tech Inc
00:1E:B1	Cryptsoft Pty Ltd
00:25:5B	"CoachComm, Llc"
74:F8:DB:C	"Tbm Co, Ltd"
FC:8D:3D	Leapfive Tech Ltd
00:04:CA	FreeMs Corp
00:50:C2:A5:4	Diamond Point International (Europe) Ltd
B4:85:47	Amptown System Co GmbH
70:B3:D5:98:8	Arris
64:A2:00	Xiaomi Communications Co Ltd
1C:93:7C	"Arris Group, Inc"
00:10:D6	Exelis
00:02:92	"Logic Innovations, Inc"
00:40:A7	Itautec Philco S.A.
00:50:C2:5E:1	Ittiam Systems (P) Ltd
00:25:A5	Walnut Media Network
70:B3:D5:5D:1	Software Motor Corp
08:BB:CC	AK-Nord Edv Vertriebsges. mbH
74:DA:DA	D-Link International
94:F7:AD	Juniper Networks
CC:BD:35	Steinel GmbH
18:E2:9F	"vivo Mobile Communication Co, Ltd"
F0:D7:AF:3	"720?bei jing?Health iTech Co, Ltd"
50:98:F3	Rheem Australia Pty Ltd
54:9F:AE	iBASE Gaming Inc
00:05:21	Control Microsystems
00:1B:E7	"Postek Electronics Co, Ltd"
00:50:C2:A1:A	Ddl
28:04:E0	Fermax Electronica S.A.U.
C8:F9:F9	"Cisco Systems, Inc"
00:1B:C5:07:1	"Center for E-Commerce Infrastructure Development, The University of Hong Kong"
00:0A:02	"Annso Co, Ltd"
00:0A:17	"Nestar Communications, Inc"
90:A7:C1	Pakedge Device and Software Inc
70:B3:D5:0C:4	Tiama
74:E5:F9	Intel Corp
1C:11:61	Ciena Corp
00:08:5B	"Hanbit Electronics Co, Ltd"
00:50:C2:AC:2	OpenXS B.V.
B8:27:EB	Raspberry Pi Foundation
04:DA:D2	"Cisco Systems, Inc"
70:B3:D5:74:2	"Yuyama Mfg Co, Ltd"
70:B3:D5:0F:D	Jsc Ural Factories
40:48:FD:9	Plus One Global Ltd
0C:EC:80	Texas Instruments
04:5D:56	camtron industrial Inc
68:EB:C5	Angstrem Telecom
00:1B:C5:01:5	Corp Systems Engineering
B8:7A:C9	Siemens Ltd
70:B3:D5:A2:E	"Kokam Co, Ltd"
00:08:15	"Cats Co, Ltd"
00:50:C2:3D:B	Osmetech Inc
1C:3D:E7	"Sigma Koki Co, Ltd"
70:38:EE	Avaya Inc
18:74:E2:A	Linux Automation GmbH
00:1B:C5:01:F	Saturn Solutions Ltd
E0:73:5F	Nucom
F0:AC:A4	Hbc-radiomatic
60:4A:1C	Suyin Corp
00:02:F6	Equipe Communications
00:50:46	"Menicx International Co, Ltd"
00:07:B4	"Cisco Systems, Inc"
00:50:C2:5A:6	Plastic Logic
00:23:6E	Burster GmbH & Co KG
00:23:C2	"Samsung Electronics Co, Ltd"
04:5C:6C	Juniper Networks
00:06:CE	Dateno
00:17:48	Neokoros Brasil Ltda
